,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
319,-0.981972,-0.32989523,-0.565682,-0.8270005
320,-0.9707193,-0.35701147,-0.58928853,-0.81963456
321,-0.9777581,-0.35320988,-0.5916992,-0.8341726
322,-0.9831322,-0.336588,-0.5863879,-0.84576094
323,-0.97596574,-0.3395842,-0.58503175,-0.8544497
324,-0.990228,-0.34868476,-0.5869606,-0.8328184
325,-0.9938288,-0.35165936,-0.5994653,-0.8497928
326,-0.9865515,-0.3462127,-0.5773615,-0.83548534
327,-0.96355534,-0.34631833,-0.59614867,-0.84789383
328,-0.98036814,-0.35005552,-0.5832465,-0.8202709
329,-0.9710752,-0.35478497,-0.5711957,-0.8521149
330,-0.97179604,-0.33264297,-0.59931517,-0.8327661
331,-0.9961821,-0.31795067,-0.5886278,-0.8309537
332,-0.9821504,-0.34662256,-0.5947293,-0.84093827
333,-0.9842356,-0.34943366,-0.5900499,-0.8316637
334,-0.96716475,-0.32828453,-0.5944148,-0.84965676
335,-0.9648821,-0.3545515,-0.5843848,-0.8492079
336,-0.97875184,-0.3622577,-0.581831,-0.8372248
337,-0.97377414,-0.35632652,-0.57961226,-0.8678911
338,-0.9775601,-0.3571678,-0.59619534,-0.858039
339,-0.9910481,-0.35785186,-0.59189236,-0.838022
340,-0.9708414,-0.36323354,-0.5771696,-0.8536469
341,-0.97570264,-0.34867796,-0.59249747,-0.864009
342,-0.98540884,-0.34388494,-0.5789047,-0.85017383
343,-0.9708947,-0.35701048,-0.58084387,-0.84124476
344,-0.97976565,-0.34864262,-0.57440853,-0.8491246
345,-0.9768334,-0.35568076,-0.6010393,-0.84511715
346,-0.9914334,-0.3609719,-0.5791162,-0.8523721
347,-0.97169703,-0.3467799,-0.58184695,-0.8436393
348,-0.98118764,-0.3408048,-0.5740483,-0.8412876
349,-0.9941684,-0.35928008,-0.6085527,-0.84561634
350,-0.97786343,-0.35454202,-0.5707936,-0.8480993
351,-0.9888961,-0.3352884,-0.5717176,-0.84513485
352,-0.9867197,-0.3367654,-0.5930423,-0.8404843
353,-0.9800235,-0.33699292,-0.5974789,-0.8531267
354,-0.9779523,-0.33497062,-0.6012839,-0.8499012
355,-0.9633411,-0.34172645,-0.59094715,-0.8532805
356,-0.9765062,-0.34072703,-0.5938433,-0.8413072
357,-0.98208284,-0.36164543,-0.60348487,-0.8488096
358,-0.9906136,-0.3339721,-0.5918206,-0.85063547
359,-0.97962224,-0.32750052,-0.5702333,-0.8554969
360,-0.9755326,-0.3649559,-0.5902708,-0.84524924
361,-0.9732357,-0.36784318,-0.5747039,-0.8444894
362,-0.97831744,-0.33808962,-0.58584195,-0.843088
363,-0.9657038,-0.34598824,-0.5941017,-0.8490417
364,-0.96764386,-0.34872139,-0.5851766,-0.83390564
365,-0.9698293,-0.34758252,-0.5956886,-0.84702164
366,-1.005495,-0.343858,-0.58737636,-0.8429314
367,-0.9811725,-0.34458607,-0.5875304,-0.84654844
368,-0.98116124,-0.34873906,-0.5726264,-0.8303497
369,-0.96805656,-0.36209667,-0.58018833,-0.82777315
370,-0.969481,-0.34303537,-0.5912301,-0.8456307
371,-0.9724529,-0.34713018,-0.57854885,-0.8413325
372,-0.9878934,-0.3392525,-0.6011888,-0.85633844
373,-0.97221243,-0.3565777,-0.5957124,-0.84890485
374,-0.96799475,-0.33913007,-0.577367,-0.85042876
375,-0.9733371,-0.35248867,-0.5948341,-0.8548908
376,-0.98473084,-0.34144127,-0.5854089,-0.8375951
377,-0.9799013,-0.34448475,-0.56830984,-0.8473445
378,-0.9844354,-0.35257974,-0.5779311,-0.8471439
379,-0.98641604,-0.35367984,-0.5765394,-0.8545806
380,-0.9592539,-0.37173808,-0.5805601,-0.8493665
381,-0.99540365,-0.3429915,-0.57993346,-0.81690246
382,-0.97048426,-0.33405495,-0.5875826,-0.83386046
383,-0.9879471,-0.34487313,-0.5746198,-0.84529686
384,-0.9809766,-0.33724412,-0.59935814,-0.8231689
385,-0.9678993,-0.3467487,-0.60911167,-0.8501499
386,-0.9620903,-0.34640205,-0.5814187,-0.8581814
387,-0.9905062,-0.35428664,-0.58356583,-0.84108895
388,-0.9664742,-0.3462211,-0.5995773,-0.82609886
389,-0.9729221,-0.36031613,-0.5918079,-0.8349269
390,-0.9878114,-0.3435836,-0.59067565,-0.8381207
391,-0.97785604,-0.33732715,-0.5889917,-0.84247637
392,-0.9705538,-0.34349117,-0.5819587,-0.83747125
393,-0.96539515,-0.3657216,-0.5827261,-0.85079443
394,-0.9761575,-0.34559673,-0.5768269,-0.86201
395,-0.9874827,-0.35632503,-0.5756048,-0.8182515
396,-0.97210443,-0.35075805,-0.56724316,-0.8606482
397,-0.9824944,-0.3442839,-0.5916053,-0.8185797
398,-0.98660946,-0.33149853,-0.5864268,-0.84416914
399,-0.9840368,-0.34347054,-0.5814383,-0.8471392
400,-0.9650188,-0.33273762,-0.58670527,-0.83362675
401,-0.9806388,-0.3803848,-0.600462,-0.84731704
402,-0.985046,-0.35355374,-0.5735726,-0.8421745
403,-0.99998623,-0.35608986,-0.59410083,-0.8586671
404,-0.98325616,-0.365165,-0.5795276,-0.83977973
405,-0.97757643,-0.3453865,-0.58007354,-0.8508235
