,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
328,-1.3737229,0.57185674,0.46145812,-1.3708965
329,-1.4195246,0.5652294,0.45643115,-1.3865157
330,-1.3844028,0.5716154,0.46833068,-1.3791268
331,-1.3777483,0.56683755,0.4569678,-1.3750986
332,-1.3909559,0.5797098,0.4802304,-1.3871843
333,-1.3853331,0.58528763,0.44193596,-1.3766998
334,-1.3846477,0.588598,0.46037006,-1.3737876
335,-1.3952327,0.58020264,0.45882544,-1.382489
336,-1.3688287,0.5729784,0.45775366,-1.3953869
337,-1.402751,0.58706206,0.46209034,-1.372577
338,-1.3939801,0.5850016,0.4541802,-1.4010825
339,-1.3784635,0.5708005,0.4474699,-1.3644199
340,-1.3857386,0.5765082,0.46924746,-1.3926334
341,-1.4080887,0.5743163,0.4752513,-1.3841563
342,-1.3962127,0.56632394,0.46458098,-1.3836961
343,-1.3637853,0.565222,0.44681203,-1.3786265
344,-1.384372,0.56544673,0.4562553,-1.380982
345,-1.3880852,0.5782092,0.4526918,-1.3748677
346,-1.3907024,0.58273375,0.4640397,-1.3874121
347,-1.3852001,0.5927581,0.45688662,-1.3776394
348,-1.4006895,0.5623555,0.44816378,-1.387243
349,-1.3858836,0.5986475,0.4699131,-1.3858397
350,-1.3944924,0.5651342,0.44115967,-1.3732373
351,-1.3805023,0.5713146,0.46140137,-1.377056
352,-1.3719022,0.56532776,0.44864562,-1.3674308
353,-1.3874897,0.56450987,0.46410832,-1.3730006
354,-1.3909003,0.5742604,0.4814409,-1.3806256
355,-1.3878678,0.5784353,0.4849689,-1.3725061
356,-1.3953519,0.577549,0.46938103,-1.3737484
357,-1.4106548,0.5754356,0.45481628,-1.3913754
358,-1.40306,0.57673365,0.45271832,-1.3669288
359,-1.3893559,0.59179944,0.4546247,-1.3735187
360,-1.3678553,0.58217233,0.4594548,-1.3743638
361,-1.3712605,0.5785214,0.45424142,-1.3753326
362,-1.3872339,0.57526916,0.46424726,-1.3768597
363,-1.3866044,0.5682655,0.47536725,-1.3786511
364,-1.3859749,0.5722265,0.46086866,-1.3837721
365,-1.379148,0.575335,0.46781,-1.3703104
366,-1.3935626,0.5750443,0.47653893,-1.3797083
367,-1.3737569,0.5817838,0.46286038,-1.3830489
368,-1.3733535,0.5872689,0.4722948,-1.3732108
369,-1.3941004,0.59950846,0.47028401,-1.3822908
370,-1.3962125,0.5734788,0.45444182,-1.3816521
371,-1.3744884,0.5604426,0.45355278,-1.3793596
372,-1.3685569,0.5834904,0.46322444,-1.3833612
373,-1.3958459,0.5666886,0.4683406,-1.3826828
374,-1.3818241,0.5599191,0.4636948,-1.3855016
375,-1.3912315,0.58661795,0.4756327,-1.36933
376,-1.4095597,0.5800157,0.4719298,-1.3652759
377,-1.3803966,0.56556076,0.4716002,-1.3764768
378,-1.3772491,0.5767168,0.44819957,-1.3920369
379,-1.3901714,0.5905687,0.46436664,-1.3759665
380,-1.378225,0.54453516,0.47812667,-1.3737284
381,-1.3862196,0.5849356,0.4619468,-1.3751504
382,-1.3771089,0.5725643,0.45167667,-1.370394
383,-1.4052994,0.5788306,0.45851135,-1.3703562
384,-1.3825918,0.59608185,0.4703111,-1.358759
385,-1.3657854,0.59229785,0.47141004,-1.3766096
386,-1.3908496,0.58419937,0.4542719,-1.4055008
387,-1.3845284,0.5774483,0.4640621,-1.3785764
388,-1.3735371,0.57681686,0.46715704,-1.3625909
389,-1.3803453,0.5661779,0.47129282,-1.3705772
390,-1.3949587,0.5790799,0.46431682,-1.3946863
391,-1.3870503,0.5843349,0.44951242,-1.364831
392,-1.3964351,0.5783269,0.45019087,-1.3616297
393,-1.3792791,0.5718201,0.4519004,-1.3565094
394,-1.386974,0.5709303,0.46216777,-1.3811309
395,-1.3817257,0.5635723,0.4560574,-1.3855348
396,-1.390675,0.571746,0.4780774,-1.3949109
397,-1.3745135,0.60821164,0.46000135,-1.3695321
398,-1.3743843,0.5811184,0.46613124,-1.3731089
399,-1.3710798,0.5675568,0.45758772,-1.3890787
400,-1.3808466,0.58094305,0.45193782,-1.372649
401,-1.3882807,0.5671282,0.44795465,-1.3683108
402,-1.3974006,0.56784,0.4630653,-1.3672854
403,-1.3823293,0.5826658,0.44939968,-1.3953458
404,-1.386669,0.5717318,0.4608437,-1.363812
405,-1.3885515,0.5760676,0.47117782,-1.3811473
406,-1.3798387,0.5733646,0.46865824,-1.3823018
407,-1.3718641,0.57649773,0.4646291,-1.3727368
408,-1.3913969,0.58205223,0.47406736,-1.3715512
409,-1.3888953,0.5926453,0.4706641,-1.3859016
410,-1.3919913,0.57152337,0.44928756,-1.396189
411,-1.4023956,0.576839,0.44363847,-1.3772167
412,-1.3656188,0.5685763,0.45788085,-1.3703917
413,-1.385569,0.5721159,0.45907956,-1.3668123
414,-1.3950719,0.60376644,0.45840806,-1.3868434
415,-1.3714942,0.5645405,0.45327288,-1.3609006
416,-1.3795265,0.5819486,0.47282594,-1.3705685
417,-1.3779079,0.58827466,0.46207416,-1.3823436
418,-1.3813239,0.5664591,0.46260962,-1.3958359
419,-1.3870363,0.57043624,0.47075644,-1.3836175
420,-1.3935744,0.562608,0.4630379,-1.3726939
421,-1.393244,0.5801919,0.45467883,-1.4018002
422,-1.3616862,0.5600681,0.44534135,-1.3676151
423,-1.3845785,0.57208204,0.4732535,-1.3986413
424,-1.3867384,0.5662919,0.4758182,-1.3943652
425,-1.3845563,0.5579876,0.44420135,-1.3736598
426,-1.3996104,0.5614513,0.4409533,-1.3724179
427,-1.4005651,0.5656592,0.4660963,-1.3824859
428,-1.3917912,0.5789525,0.45018005,-1.3813187
429,-1.3806185,0.5688598,0.46033704,-1.3713654
430,-1.3847117,0.55793595,0.45027375,-1.38734
431,-1.3864416,0.5827314,0.45306295,-1.3676718
432,-1.3759648,0.5526436,0.46006855,-1.3828024
433,-1.3914922,0.58660984,0.4677282,-1.38789
434,-1.3643298,0.5774883,0.46842062,-1.3724879
435,-1.3929162,0.5709016,0.45649558,-1.3696069
436,-1.38332,0.5676296,0.45851144,-1.3761379
437,-1.3781649,0.56163573,0.4633469,-1.3814844
438,-1.3754569,0.5824179,0.47277704,-1.3663331
439,-1.3812128,0.5693569,0.46529636,-1.3749067
440,-1.3837541,0.5933749,0.46943477,-1.3715084
441,-1.3938428,0.5716164,0.4639598,-1.3496901
442,-1.3916447,0.5806219,0.45350978,-1.3958223
443,-1.3844981,0.59088063,0.46046185,-1.372439
444,-1.3738282,0.5700635,0.459989,-1.3785796
445,-1.3791783,0.5857782,0.45209062,-1.3677306
446,-1.384684,0.5740422,0.45710605,-1.3798006
447,-1.3870202,0.5823076,0.4597859,-1.3769231
448,-1.36347,0.58905727,0.46192834,-1.3788813
449,-1.3755059,0.5749532,0.46064258,-1.3886862
450,-1.3847963,0.5823575,0.47107384,-1.3774458
451,-1.3809006,0.57567936,0.44925246,-1.3914397
452,-1.3778669,0.57625073,0.46213445,-1.3941181
453,-1.3901997,0.57830054,0.46325877,-1.3936949
454,-1.3846489,0.5686458,0.46226972,-1.3809164
455,-1.3877037,0.5749967,0.4585149,-1.3769923
456,-1.3933244,0.5889351,0.46628433,-1.3833268
457,-1.3841919,0.5750362,0.45480064,-1.3821977
458,-1.3861036,0.5708354,0.45717847,-1.3694487
459,-1.3868363,0.5864875,0.4558619,-1.3544977
460,-1.374846,0.5964164,0.4683979,-1.3741652
461,-1.3817204,0.56999266,0.45799285,-1.3891331
462,-1.3852755,0.5566229,0.4563155,-1.3727512
463,-1.3988234,0.57318664,0.45561212,-1.3749297
464,-1.3764782,0.561235,0.44659707,-1.3795753
465,-1.3832551,0.58295494,0.47366077,-1.3711907
466,-1.3921602,0.5709098,0.4726881,-1.3433703
467,-1.3876524,0.5866168,0.46480206,-1.3976253
468,-1.3674388,0.56138456,0.44608054,-1.3925792
469,-1.385276,0.578884,0.46179846,-1.3647286
470,-1.3833535,0.5725546,0.43942702,-1.3916032
471,-1.3931565,0.56505436,0.46593544,-1.3735116
472,-1.3861995,0.59723455,0.46673054,-1.3624583
473,-1.3835158,0.58373255,0.47290203,-1.3761392
474,-1.3776317,0.5827927,0.46393174,-1.3819842
475,-1.3709477,0.5829558,0.47611007,-1.3646737
476,-1.3815987,0.5935223,0.4673931,-1.3706588
477,-1.3884335,0.5802693,0.45882857,-1.4025995
478,-1.3875937,0.5652562,0.46230134,-1.3662214
479,-1.3708875,0.58303523,0.45117438,-1.3929383
480,-1.4047519,0.5644407,0.47237137,-1.3832443
481,-1.3727365,0.56743634,0.46698815,-1.3803802
482,-1.3741716,0.5496803,0.46487266,-1.3757159
483,-1.3799902,0.55760384,0.45703763,-1.3654424
484,-1.3765153,0.5564053,0.44954106,-1.3781965
485,-1.3705331,0.58877456,0.45087057,-1.3670478
486,-1.4001396,0.57978845,0.46806368,-1.3986229
487,-1.4112855,0.55733806,0.45809066,-1.3612562
