,Agent_0,Agent_0_abs_W_max,Agent_1,Agent_1_abs_W_max
180,-3510.30646993137,49.491108019375744,-3545.8847365673787,49.462156520041106
181,-3204.463295977055,50.65889902018573,-3040.6813695769565,51.57951911339825
182,-3754.755144540248,50.65889902018573,-3738.458114837277,51.57951911339825
183,-3716.242872001101,50.65889902018573,-3681.734420600377,51.57951911339825
184,-1165.7647291881347,50.65889902018573,-1322.400006013028,51.57951911339825
185,-97.52954132824334,50.65889902018573,-200.97334105231818,51.57951911339825
186,-2587.3734316444975,50.65889902018573,-2422.684268202228,51.57951911339825
187,-3220.6165158676968,50.65889902018573,-2973.944474487362,51.57951911339825
188,-2650.0723502163,50.65889902018573,-3378.049940105661,51.57951911339825
189,-2303.3850480447245,50.65889902018573,-3216.922862124475,51.57951911339825
190,-2991.558810309456,50.65889902018573,-3281.3134342824787,51.57951911339825
191,-2878.951136941699,51.89792230547606,-2750.5736124116765,52.67574414550847
192,-2792.978004950476,51.89792230547606,-3119.882888338035,52.67574414550847
193,-3272.9379748176984,51.89792230547606,-3189.5502618191977,52.67574414550847
194,-1810.098710300305,52.76498460489419,-2468.865135182137,53.029254250613924
195,-1282.1620647563711,52.76498460489419,-1790.6278559965956,53.029254250613924
196,-3565.09851192719,52.76498460489419,-3777.2107071321907,53.029254250613924
197,-3744.396331535862,52.76498460489419,-3734.178509753683,53.029254250613924
198,-3680.52222719,52.76498460489419,-3661.4529202593076,53.029254250613924
199,-3641.978649939975,52.76498460489419,-3628.0578578607674,53.029254250613924
200,-3851.1281809569678,52.76498460489419,-3793.781646303503,52.63302387000418
201,-2467.3824205927567,54.855235276313174,-2014.440292721164,53.97214854858424
202,-1139.6489801544685,54.855235276313174,-2135.233028665817,53.97214854858424
203,-375.4214011093201,54.855235276313174,-505.12960233534466,53.97214854858424
204,-2540.4477356107695,54.05936951358629,-2902.546188508271,52.73373724804678
205,-2588.809338520675,55.03528610457706,-2322.3567132202697,54.32328342162216
206,-2835.9582095417372,55.274594553728576,-2116.4759598082437,54.98914357944715
207,-3555.1423864059716,55.274594553728576,-3540.785950762406,54.98914357944715
208,-2966.2023364374536,56.04192357692315,-1743.0647893454639,55.84028786440397
209,-3088.3509953114003,56.460614997070664,-3066.9088686466757,55.90627826262537
210,-2256.2156951699417,56.73841032264548,-2959.064308724298,56.95265193312233
211,-3422.79115199797,56.73841032264548,-3462.503434261363,56.95265193312233
212,-3738.695583304191,56.73841032264548,-3731.4282565715184,56.95265193312233
213,-2845.158228104081,56.73841032264548,-3388.9110010427944,56.95265193312233
214,-3334.5002737578952,54.458154339693,-3054.4238998413753,57.48019366051441
215,-3747.142342011183,54.458154339693,-3762.9443222092027,57.48019366051441
216,-3325.008685195106,54.60043354823689,-3233.7559549410134,58.990200176899116
217,-3743.7160522668455,54.60043354823689,-3666.089500334283,58.990200176899116
218,-1182.3985454841538,54.60043354823689,-645.3426859654168,58.990200176899116
219,-3334.5330242113405,54.60043354823689,-3115.7952019534923,58.990200176899116
220,-3300.5606013415995,54.973298142027744,-3234.107754581275,57.46471219754621
221,-3592.741330813562,54.847965039902725,-3639.3333600756473,57.77900361595217
222,-3789.1612809969884,54.847965039902725,-3781.794944363325,57.77900361595217
223,-3642.4256993410236,54.847965039902725,-3642.247481519241,57.77900361595217
224,-3011.0598831560155,57.24430533274282,-2905.405209232519,59.657537307036336
225,-1813.3324856301044,57.24430533274282,-1154.1320636341352,59.657537307036336
226,-3216.8813440601534,57.24430533274282,-2966.645707567613,59.657537307036336
227,-718.2973623853301,58.419987720670655,-809.6180831385318,59.72632305325573
