,agent1
719,1.2193326
720,1.2399596
721,1.2259723
722,1.2373251
723,1.2281318
724,1.2413114
725,1.2322812
726,1.2296951
727,1.2260491
728,1.242585
729,1.2397953
730,1.2242173
731,1.2416127
732,1.2410492
733,1.2502078
734,1.237437
735,1.2455057
736,1.2445351
737,1.2348099
738,1.2361606
739,1.2365859
740,1.2234081
741,1.2236038
742,1.2245301
743,1.2285266
744,1.2101818
745,1.2490778
746,1.2490731
747,1.2224033
748,1.2335008
749,1.2355502
750,1.228947
751,1.2401605
752,1.2187557
753,1.2534598
754,1.2309192
755,1.2287138
756,1.2266698
757,1.2286465
758,1.2268797
759,1.2364799
760,1.2452163
761,1.232313
762,1.2348255
763,1.2351156
764,1.2323858
765,1.2550906
766,1.2288742
767,1.2429055
768,1.2342702
769,1.2453468
770,1.2300589
771,1.2369591
772,1.2261775
773,1.2315254
774,1.2535291
775,1.2242863
776,1.2415296
777,1.2283115
778,1.2556806
779,1.2441438
780,1.2286164
781,1.2212205
782,1.2295264
783,1.240257
784,1.2316104
785,1.245976
786,1.2399982
787,1.2205963
788,1.2194486
789,1.2350652
790,1.2409536
791,1.2338923
792,1.2253883
793,1.2384415
794,1.2343446
795,1.2386353
796,1.242393
797,1.2276217
798,1.2498332
799,1.2294456
800,1.2319239
801,1.2340983
802,1.2412854
803,1.2197753
804,1.2341624
805,1.2441086
806,1.2377857
807,1.2340001
808,1.2366786
809,1.2340738
810,1.2402903
811,1.2130637
812,1.2271488
813,1.2291456
814,1.2301621
815,1.2378306
816,1.2330989
817,1.2386214
818,1.2342975
819,1.2504892
820,1.240541
821,1.237583
822,1.2294832
823,1.239289
824,1.2398691
825,1.2291114
826,1.2180021
827,1.2409668
828,1.249851
829,1.2353234
830,1.2504171
831,1.2170379
832,1.226546
833,1.2253366
834,1.2416085
835,1.228089
836,1.230225
837,1.2254066
838,1.2180961
839,1.2327509
840,1.2274003
841,1.2330315
842,1.2375556
843,1.2356915
844,1.2303387
845,1.229235
846,1.240525
847,1.2161545
848,1.2458298
849,1.2226514
850,1.2193806
851,1.2435664
852,1.2315574
853,1.2258574
854,1.2280502
855,1.2391938
856,1.2095226
857,1.2302918
858,1.2366006
859,1.2340937
860,1.2253374
861,1.2202908
862,1.2206885
863,1.2273396
864,1.2254232
865,1.2372129
866,1.2319005
867,1.2421726
868,1.2200602
869,1.2158688
870,1.2188537
871,1.2380644
872,1.2093726
873,1.2253705
874,1.2179595
875,1.244083
876,1.2205145
877,1.2160977
878,1.2250026
879,1.2369245
880,1.2462124
881,1.2360003
882,1.2039008
883,1.220128
884,1.2332736
885,1.2261235
886,1.2350173
887,1.2283536
888,1.2048063
889,1.2516981
890,1.236939
891,1.2428417
892,1.2418622
893,1.2035769
894,1.220361
895,1.2244262
896,1.2250843
897,1.2239176
898,1.2230043
899,1.2249604
900,1.2355217
901,1.2054425
902,1.2108151
903,1.2224958
904,1.2086055
905,1.226908
906,1.2198594
907,1.2257193
908,1.1942309
909,1.2019591
910,1.2176778
911,1.2127808
912,1.208519
913,1.2081392
914,1.1943775
915,1.1830752
916,1.1966792
917,1.1856848
918,1.1886879
919,1.1692336
920,1.1825936
921,1.1803212
922,1.1797597
923,1.1538523
924,1.1709578
925,1.1631625
926,1.1640934
927,1.1763679
928,1.1894152
929,1.1728026
930,1.1633974
931,1.1471947
932,1.1572496
933,1.1706232
934,1.1584831
935,1.1651484
936,1.155814
937,1.1636832
938,1.1557089
939,1.1544482
940,1.1387343
941,1.1327196
942,1.1574968
943,1.1514956
944,1.1476668
945,1.1556913
946,1.1393436
947,1.1384114
948,1.1341231
949,1.1550294
950,1.1405122
951,1.1368935
952,1.1418473
953,1.1332251
954,1.145163
955,1.1279138
956,1.1450146
957,1.1175337
958,1.1491026
959,1.1470715
960,1.1284133
961,1.1280851
962,1.1448622
963,1.1467618
964,1.1480273
965,1.1296003
966,1.1401742
967,1.1363677
968,1.1208979
969,1.1272103
970,1.1468738
971,1.1407415
972,1.1347251
973,1.1313193
974,1.1415886
975,1.1229165
976,1.1047882
977,1.1438149
978,1.104924
979,1.1215217
980,1.1233257
981,1.1242354
982,1.1280273
983,1.1256394
984,1.1215239
985,1.1210092
986,1.1007005
987,1.1128812
988,1.1030405
989,1.0924256
990,1.0560932
991,1.0547273
992,1.047665
993,1.0257667
994,1.0301093
995,0.99884725
996,0.98763645
997,0.97615445
998,0.9716579
999,0.9726723
